evaluations raw_y
1 0.0000000000
2 23.0700000000
6 36.1200000000
9 42.0500000000
23 56.9700000000
30 135.4800000000
39 154.9800000000
43 169.5900000000
49 187.7400000000
58 197.6100000000
72 208.7700000000
83 220.8600000000
117 223.9300000000
151 238.9900000000
161 240.1000000000
164 240.4000000000
177 244.7100000000
189 249.3600000000
212 256.5700000000
219 278.4600000000
228 281.6700000000
243 295.3900000000
305 307.5100000000
318 315.2500000000
336 332.3200000000
371 333.8900000000
404 334.0400000000
412 338.0200000000
413 357.4400000000
469 383.2800000000
568 401.4800000000
606 407.1400000000
621 412.7200000000
637 433.6500000000
645 438.4200000000
662 440.2800000000
666 455.8400000000
676 460.7700000000
683 464.5500000000
691 495.4100000000
708 498.3800000000
709 500.4800000000
721 502.5800000000
733 507.9000000000
735 510.1600000000
737 513.8600000000
750 535.3500000000
754 540.7700000000
786 542.3300000000
804 546.1800000000
848 549.4800000000
863 555.7500000000
868 558.5100000000
876 560.4600000000
982 574.9000000000
1039 583.5700000000
1055 607.8200000000
1102 612.4200000000
1126 612.9000000000
1313 619.6800000000
1331 625.2800000000
1417 647.3000000000
1436 662.9200000000
1452 670.6700000000
1509 678.7500000000
1619 679.0000000000
2002 683.1200000000
2092 684.7200000000
2251 686.9200000000
2267 688.6300000000
2289 694.8500000000
2422 695.2800000000
2648 705.2600000000
2798 718.0000000000
2799 727.9100000000
2860 729.5700000000
2873 732.5500000000
2908 733.7100000000
2926 741.7400000000
2932 764.2200000000
3041 801.3700000000
3114 812.8700000000
3216 816.9800000000
3293 832.3200000000
4100 846.5400000000
4571 848.5100000000
4654 859.3400000000
4661 950.5700000000
4663 962.3200000000
4753 967.8200000000
4765 981.8300000000
4859 984.5200000000
6388 988.5700000000
6607 993.6500000000
6844 995.1400000000
7034 995.7800000000
7088 1006.9400000000
7568 1017.7900000000
8147 1038.8300000000
8274 1042.8400000000
8333 1060.8500000000
8857 1064.8800000000
8931 1067.6800000000
8973 1070.5700000000
9102 1084.0600000000
10322 1084.1300000000
10363 1084.3300000000
10374 1088.5700000000
10419 1088.7500000000
10451 1098.2900000000
10787 1101.8800000000
10891 1110.2100000000
10991 1111.0300000000
11286 1121.8100000000
11514 1124.1400000000
11530 1156.6400000000
21974 1158.4800000000
24997 1161.9800000000
25662 1166.0700000000
34874 1167.8200000000
35535 1169.2300000000
36645 1172.4400000000
37143 1176.3500000000
38062 1186.8800000000
38327 1188.0900000000
38343 1189.4800000000
38541 1191.0500000000
39056 1195.6100000000
40055 1196.5100000000
40315 1208.4800000000
40360 1209.8300000000
40478 1214.8600000000
42307 1216.2800000000
44927 1219.4100000000
50241 1220.4100000000
57008 1225.1000000000
70797 1225.1500000000
87093 1226.7500000000
87157 1228.8300000000
87262 1233.1200000000
87441 1235.2400000000
87483 1236.4900000000
88098 1236.7200000000
88484 1246.6500000000
97642 1250.1000000000
100000 1030.3200000000
