evaluations raw_y
1 0.0000000000
2 26.1900000000
6 36.3800000000
9 60.8100000000
16 64.9000000000
27 83.2500000000
63 118.1700000000
91 120.5900000000
122 133.5400000000
145 135.0200000000
383 142.0200000000
559 156.8300000000
637 167.9300000000
651 178.2800000000
806 214.6400000000
807 228.9500000000
812 239.5700000000
864 240.5400000000
914 243.4400000000
982 249.3800000000
1049 249.7300000000
1056 255.1700000000
1062 275.6900000000
1063 299.1600000000
1230 314.4800000000
1374 329.6100000000
1772 409.7900000000
1775 436.4200000000
2113 443.5600000000
2283 454.4200000000
3503 461.2800000000
4006 531.3100000000
4031 542.7700000000
4052 560.2500000000
4181 560.3200000000
4198 566.8300000000
4353 571.0900000000
4432 573.1100000000
5729 670.2200000000
11632 671.1200000000
11680 674.0400000000
11775 674.0500000000
12853 676.0300000000
13212 677.8800000000
14146 737.6100000000
14784 752.9700000000
14804 754.3600000000
14822 754.4500000000
14932 757.8400000000
15142 765.3600000000
15878 770.7800000000
17906 772.8600000000
18295 775.2100000000
18606 798.3700000000
19873 799.2400000000
19896 806.8300000000
20204 811.1300000000
20725 833.7000000000
28070 844.3800000000
61352 845.6400000000
77621 847.6500000000
100000 344.2700000000
