evaluations raw_y
1 0.0000000000
2 2.1200000000
3 13.0900000000
4 25.7200000000
8 41.5700000000
10 51.6300000000
26 75.6400000000
27 78.8900000000
35 87.8700000000
37 91.2400000000
38 107.9200000000
51 208.1000000000
54 263.2600000000
61 266.3400000000
70 278.8300000000
83 288.3200000000
116 292.7000000000
132 298.1700000000
148 302.2300000000
170 314.3400000000
189 328.6800000000
282 344.5100000000
467 358.1200000000
537 380.5200000000
589 391.9200000000
669 399.4500000000
693 405.2800000000
714 418.3600000000
715 423.2500000000
716 434.1000000000
766 452.4300000000
811 456.3900000000
829 465.8800000000
936 466.4800000000
956 469.5500000000
993 498.0100000000
1380 522.1100000000
1430 524.4100000000
1433 540.2800000000
1934 551.7300000000
2062 552.9100000000
2084 596.2200000000
2174 608.7600000000
2211 609.9500000000
2220 620.0700000000
2304 623.5100000000
2318 629.3400000000
2327 639.2800000000
2342 639.7300000000
2345 643.2700000000
2360 661.0000000000
2543 666.4300000000
2668 670.2000000000
2825 678.8900000000
3089 718.0200000000
3108 748.0700000000
3270 755.3300000000
3830 756.3600000000
4677 757.0900000000
4861 760.0100000000
4981 767.6800000000
5026 769.2500000000
5028 786.3100000000
5146 786.5700000000
5363 788.3200000000
5429 792.8600000000
5479 815.8700000000
6813 820.4500000000
7379 826.0300000000
8824 829.0800000000
10000 802.9500000000
