evaluations raw_y
1 0.0000000000
2 4.5900000000
3 15.4900000000
4 25.3000000000
8 30.0800000000
10 59.9600000000
16 72.0500000000
17 74.3600000000
24 81.3300000000
30 91.1500000000
31 101.7100000000
33 112.4000000000
35 113.9500000000
39 122.9100000000
41 123.6500000000
47 147.0600000000
52 150.2600000000
53 151.8200000000
57 158.1300000000
59 173.8200000000
104 181.2600000000
129 199.7100000000
229 200.5900000000
256 202.2600000000
328 204.3400000000
382 206.1400000000
410 213.9600000000
492 234.9600000000
640 236.8700000000
767 239.2800000000
849 249.6900000000
903 252.4300000000
904 259.9900000000
921 260.5900000000
934 315.0100000000
941 318.3200000000
961 320.7400000000
962 375.1300000000
1003 394.5000000000
1014 413.7400000000
1052 419.6700000000
1108 422.5200000000
1154 425.4400000000
1159 449.0400000000
1175 477.2000000000
1187 477.2600000000
1995 477.7300000000
2041 492.0100000000
2137 500.0200000000
2153 502.3800000000
2202 510.8000000000
2238 527.4600000000
3374 596.1000000000
3382 599.8800000000
3399 618.8400000000
3438 627.0700000000
3590 627.7900000000
3898 640.7400000000
5002 729.1800000000
6360 742.9000000000
6409 761.4600000000
8507 763.9800000000
9117 770.3300000000
10612 772.1200000000
11341 891.3600000000
22253 894.9100000000
36033 895.5200000000
37288 897.3400000000
37335 899.0800000000
37752 901.7900000000
37762 911.7800000000
37812 919.3300000000
38195 919.5500000000
38205 920.9700000000
38255 922.9900000000
38376 927.4000000000
38817 932.6800000000
40832 932.9400000000
41437 935.0000000000
41808 937.0900000000
41893 944.5100000000
41942 946.7800000000
42713 951.4800000000
44756 953.0100000000
46560 954.9900000000
64907 958.4400000000
100000 273.8900000000
