evaluations raw_y
1 0.0000000000
2 2.0300000000
3 15.3600000000
4 27.1000000000
6 32.3100000000
7 33.6000000000
9 38.1100000000
10 53.0400000000
30 57.6400000000
41 66.5200000000
50 68.8300000000
51 80.3600000000
52 92.0600000000
53 134.7200000000
61 136.9100000000
65 137.6600000000
85 140.0500000000
96 162.3400000000
120 167.9500000000
167 178.7800000000
193 189.3200000000
195 202.9700000000
261 203.4400000000
282 211.3500000000
407 219.6400000000
410 220.7100000000
415 230.6000000000
459 248.2600000000
473 292.3700000000
1101 296.6800000000
1204 308.9200000000
1209 328.8100000000
1224 330.9600000000
1228 348.2700000000
1264 360.2000000000
1300 365.2200000000
1323 365.9900000000
1331 378.6800000000
1357 381.0800000000
1380 384.9900000000
1421 406.1300000000
1503 407.2600000000
1600 407.5000000000
1947 417.6300000000
1980 426.4200000000
2255 428.3900000000
2321 431.5200000000
2619 477.1400000000
2655 487.1800000000
2665 499.8500000000
2732 501.8200000000
2793 504.9000000000
2814 517.7000000000
2951 526.7500000000
3073 529.1400000000
3160 530.3700000000
3184 533.6300000000
3216 535.1500000000
3268 538.3000000000
3439 542.8600000000
3662 549.3000000000
3758 552.9500000000
4030 556.7300000000
4219 575.0400000000
4291 612.6800000000
4292 626.1900000000
4298 636.6900000000
4314 645.4400000000
4343 650.1900000000
4345 653.1600000000
4379 663.1200000000
4559 663.2400000000
4639 666.6800000000
4662 756.3500000000
4663 767.8900000000
4761 773.9600000000
4898 781.9300000000
5102 783.0600000000
5166 795.5800000000
6263 800.4000000000
7435 805.2700000000
15497 806.5100000000
16163 808.3500000000
17687 841.7200000000
22208 846.2300000000
23426 850.1100000000
25159 855.0500000000
25859 855.5500000000
25899 856.5500000000
25915 862.2400000000
25918 869.8200000000
26019 869.9700000000
26531 870.6100000000
26534 872.9300000000
26662 879.0400000000
26682 897.5800000000
32744 898.8400000000
35124 903.2100000000
37026 903.2400000000
37630 905.5200000000
37881 905.5400000000
41678 907.4300000000
41699 907.5100000000
51323 916.6100000000
51358 919.8000000000
53003 924.9500000000
56380 925.9200000000
58172 934.4800000000
58184 938.9900000000
58237 941.5300000000
58310 949.7600000000
59496 955.0800000000
61442 957.6500000000
63210 961.9400000000
68633 969.3700000000
74984 970.3500000000
100000 344.9200000000
