evaluations raw_y
1 0.0000000000
2 29.3100000000
6 37.7400000000
9 56.4800000000
20 104.3000000000
27 123.8100000000
28 146.5300000000
46 162.5100000000
53 172.0100000000
61 172.5800000000
66 195.7600000000
94 212.4800000000
160 215.3700000000
238 349.7600000000
255 352.3600000000
273 372.8600000000
285 373.3000000000
314 396.3900000000
328 408.1800000000
340 442.8800000000
384 448.4400000000
389 453.6900000000
398 471.1400000000
409 476.3500000000
468 480.6800000000
474 488.2100000000
481 492.0800000000
513 502.9900000000
621 508.6000000000
636 512.5800000000
677 516.4200000000
686 530.3600000000
713 533.3600000000
714 535.5000000000
821 537.0600000000
986 546.1700000000
1566 561.2500000000
1583 566.0500000000
1595 577.6100000000
1678 579.1200000000
1744 582.5600000000
1764 601.4400000000
1978 604.4800000000
1993 606.1500000000
2225 609.7400000000
2281 610.9800000000
2289 619.4200000000
2309 626.0200000000
2329 633.9400000000
2348 637.9500000000
2423 643.5900000000
2458 656.4700000000
2598 658.8000000000
2621 662.6200000000
2626 668.2800000000
2629 670.8800000000
2631 671.9600000000
2641 673.8200000000
2687 679.8200000000
2732 687.4700000000
2777 691.1300000000
2785 701.4400000000
2841 703.2300000000
2862 708.6300000000
2935 730.2900000000
2964 730.3500000000
3001 732.1800000000
3011 740.5100000000
3314 746.0300000000
3361 760.5600000000
3425 770.2800000000
3547 773.9800000000
3568 776.7600000000
3594 789.6500000000
3653 794.8100000000
3701 812.6200000000
4223 818.7000000000
4723 824.3300000000
5351 827.9800000000
5854 879.4800000000
5875 906.8100000000
5947 916.8400000000
5954 918.6100000000
5993 926.6400000000
5999 931.4500000000
6088 946.6700000000
6464 948.1500000000
6481 948.7400000000
6601 960.8700000000
9092 964.2100000000
9108 967.5900000000
9182 967.9300000000
9271 968.0900000000
9277 972.5700000000
9646 973.2300000000
9657 974.1200000000
9687 976.5300000000
9805 993.5400000000
9831 1006.1900000000
10000 965.6700000000
