value_f,size
-2851.0,0
-1864.465628511613,1
-867.8757048614657,2
52.72986039482748,3
1045.6903733324293,4
1835.6181831618424,5
2809.0500554561577,6
3698.212015984892,7
4550.456278269285,8
5463.024938986584,9
6456.43857068706,10
7402.467554615716,11
8297.155565685767,12
9207.619874135611,13
10040.918220504951,14
10811.003137332253,15
11734.085793909313,16
12721.695322625586,17
13665.210743131409,18
14645.25040093578,19
15317.574844270732,20
16258.8873661702,21
17183.504105051223,22
17760.424794736406,23
18561.64200415253,24
19437.207237969913,25
20436.442183668827,26
21231.25683616926,27
22286.837479471542,28
23273.21789648993,29
24073.897463030884,30
24740.592472543754,31
25733.027622746446,32
26552.97983527525,33
27342.356631258725,34
28198.09633947717,35
29058.697195051813,36
30045.5929938923,37
31044.806526876073,38
32027.359510037022,39
32048.678435533777,40
32967.37866925543,41
33739.73795119081,42
34023.050186949265,43
34936.87402963507,44
35794.71874399121,45
36496.2899107749,46
37270.49725882807,47
37895.674073259725,48
38767.47395378964,49
39660.666994443665,50
40529.754616459955,51
41489.21859245688,52
42279.05953155042,53
42956.69226497639,54
43787.31533326253,55
44370.58610067288,56
45252.45661183077,57
45901.88658792032,58
46520.86778219764,59
47844.59022716004,60
48632.16968166908,61
49467.88858150287,62
51153.45683628329,64
51409.855716416576,66
52320.71726316709,67
52727.25893334414,68
53318.00007503743,69
54084.411725802536,70
55377.29521244064,71
56096.28839928414,72
56523.524489191834,73
57431.80489035702,74
58246.218926030175,75
59130.337641973194,76
59607.949720362085,77
60634.949703806036,78
61680.72432113315,79
61966.39693679235,80
62551.0310611587,81
63313.08792428132,82
63784.87378731846,83
64497.47116222182,84
65033.84607704266,85
65870.91089744448,86
66777.89926199957,87
67161.24130898845,88
68128.08769870171,89
69101.84189453414,90
69124.03289446993,91
70067.4392411985,92
70852.439672424,93
71749.01999004825,94
71925.21898906412,95
72737.04887586876,96
73650.84038800371,97
73841.65251013642,98
74747.80734685986,99
75432.8122284032,100
76105.59974489574,101
76999.7091292162,102
77314.52158324665,106
77778.33269542399,107
78696.57262335693,108
79480.9179134016,109
80339.24671755292,110
80864.205672724,113
81731.91261900617,114
82367.71656958653,115
82441.50885237286,116
83225.8041410528,117
83944.68751015776,121
84526.37393447872,122
85464.81555837953,123
86345.6738879927,124
87083.73906742566,125
87384.47986050726,126
87916.6197788376,127
88334.79897364344,128
89999.66695387133,131
90149.58372074793,132
90265.51944251524,133
90521.57810570789,138
91398.196243038,139
92376.61332428486,140
92526.28591758716,141
93252.38307064226,142
93824.46903496067,143
94081.69197061977,144
94631.15576125529,145
95976.57020701053,146
96951.22749402968,147
97459.25872293247,148
97981.85748670655,149
98177.15730194443,150
99155.05666921203,151
99736.520823298,152
99844.26010805523,153
100601.9385649597,154
101119.46066540132,155
101434.05215684268,156
101932.31815127133,157
102678.74631017364,158
102998.6962117513,159
103963.64318252899,160
104372.65804367678,161
105053.66628661825,162
105993.58289799377,163
106406.87348195154,165
106728.1513651618,166
107385.29316693798,167
108059.42081829712,175
108923.00797870784,176
109574.87783598823,177
110571.86176457265,178
110791.12446317772,179
111289.59259592192,180
112147.97305596771,181
112679.91170486546,182
