value_f,size
0.0,0
38.66000000000002,1
162.33,2
174.13000000000008,7
182.88000000000008,8
214.58999999999995,9
251.20000000000002,10
308.04,11
340.62999999999977,12
359.4800000000001,13
365.44000000000017,14
373.66999999999985,15
385.06999999999994,16
394.20999999999987,17
411.73000000000013,18
419.7100000000001,19
423.67,21
464.79,22
496.6399999999999,23
513.68,24
530.32,25
533.3000000000001,26
545.14,27
560.7199999999999,28
564.43,29
576.89,30
583.1100000000004,31
591.1999999999998,32
601.92,33
612.0799999999997,34
618.9800000000001,35
621.0700000000002,36
635.7000000000003,37
646.0,38
758.3800000000002,40
765.5900000000003,41
783.6699999999997,42
784.1700000000001,43
788.4399999999999,44
795.0099999999998,45
796.0899999999997,47
880.33,48
896.4300000000003,49
899.6600000000001,50
904.3099999999997,51
907.2900000000001,52
911.9500000000002,53
929.48,54
946.9700000000004,57
1054.8400000000001,58
1064.7899999999995,59
1066.3100000000004,60
1078.0800000000002,62
1083.6499999999999,63
