eval,mean_best_f,std_best_f
1,0.0,0.0
2,135.06666666666666,55.76300425621059
3,177.03333333333333,67.19374115626182
4,239.7,62.105666352623956
5,282.76666666666665,67.50564897605356
6,311.96666666666664,70.91543450176917
7,327.06666666666666,73.9398326382655
8,341.0,69.54333801356508
9,361.7,73.22763280959279
10,370.76666666666665,74.2765955310161
11,391.4,68.63677510308686
12,398.06666666666666,61.86522243657123
13,405.93333333333334,57.46479181943127
14,415.8666666666667,56.024460995935144
15,421.56666666666666,52.12232517462355
16,426.9,47.0812577103268
17,429.1333333333333,47.55449384713784
18,432.43333333333334,43.71749695750987
19,435.96666666666664,43.45388624605465
20,437.1,43.990868958502496
21,445.4,42.09070664893733
22,450.2,42.273656914980954
23,456.4,39.20467952364518
24,457.56666666666666,37.95249601835153
25,464.1333333333333,35.37750437908183
26,468.1666666666667,30.03111413337764
27,469.8666666666667,30.8877091205004
28,472.8,29.818300328535813
29,474.96666666666664,29.99710714021619
30,477.06666666666666,31.574687956339805
31,478.5,29.57252919110269
32,479.8666666666667,27.77710957050704
33,482.0,24.64926382057995
34,484.03333333333336,22.135138757552255
35,484.43333333333334,21.801112488749894
36,487.0,21.55666150340571
37,488.9,19.803082309719294
38,491.6333333333333,19.297102396980232
39,492.93333333333334,16.345268920759732
40,493.8666666666667,16.447897535348805
41,496.1666666666667,15.63392273966726
42,497.3333333333333,15.008809673524812
43,497.4,15.020904972966727
44,499.5,13.987062988150257
45,500.06666666666666,13.572114752335935
46,500.1,13.563007498847485
47,500.1,13.563007498847485
48,501.06666666666666,13.89103738171595
49,501.06666666666666,13.89103738171595
50,503.3666666666667,11.792701814764674
51,504.1666666666667,10.687031565320696
52,504.3333333333333,10.38013133042071
53,504.8333333333333,10.30595185696891
54,506.4,9.884156601558777
55,506.7,9.595796493508372
56,506.7,9.595796493508372
57,506.7,9.595796493508372
58,506.73333333333335,9.551794680016704
59,506.8,9.524559904757298
60,507.53333333333336,8.764085542844663
61,508.53333333333336,9.149084496627887
62,508.8,9.484651848626557
63,509.3666666666667,9.908141317513397
64,509.3666666666667,9.908141317513397
65,510.8,9.407993666429958
66,510.8333333333333,9.340617026555666
67,510.8333333333333,9.340617026555666
68,510.9,9.323126602978874
69,510.93333333333334,9.314183967933303
70,511.03333333333336,9.286561790299867
71,511.03333333333336,9.286561790299867
72,512.8333333333334,8.729985319469955
73,513.3666666666667,9.334708437289052
74,513.7333333333333,9.00166012785815
75,513.8,8.90331205323285
76,513.9,8.860411759716596
77,514.9333333333333,8.905377427511805
78,514.9333333333333,8.905377427511805
79,514.9333333333333,8.905377427511805
80,515.1333333333333,8.50043947477822
81,515.5666666666667,8.075861578177589
82,515.9,7.831633466820359
83,515.9,7.831633466820359
84,516.3,7.879042476394423
85,516.4333333333333,7.846296439473335
86,516.4333333333333,7.846296439473335
87,516.4333333333333,7.846296439473335
88,516.8,7.840654441369386
89,516.8333333333334,7.80399249426694
90,516.8333333333334,7.80399249426694
91,517.0,7.794781631941666
92,517.0,7.794781631941666
93,517.0,7.794781631941666
94,517.0,7.794781631941666
95,517.0,7.794781631941666
96,517.1666666666666,7.579843203424842
97,517.1666666666666,7.579843203424842
98,517.4333333333333,7.641462819577707
99,517.4333333333333,7.641462819577707
