evaluations raw_y
1 0.0000000000
2 1.8900000000
3 15.4800000000
4 30.4500000000
6 36.7100000000
10 50.9700000000
15 59.4300000000
24 60.2100000000
26 69.7800000000
27 79.6500000000
29 88.8400000000
34 89.2500000000
43 89.6500000000
44 104.1600000000
50 116.6500000000
54 136.0200000000
64 147.7900000000
87 154.1000000000
110 154.6200000000
111 154.9100000000
115 173.4600000000
128 178.4000000000
129 192.8400000000
139 210.3300000000
188 227.4100000000
256 227.7300000000
278 240.4800000000
287 260.2100000000
309 263.7500000000
317 273.3100000000
331 296.9900000000
367 300.9100000000
371 339.7300000000
408 345.1000000000
412 346.1800000000
416 347.8200000000
423 368.3500000000
427 369.4300000000
466 371.6400000000
467 392.0600000000
499 397.4400000000
515 406.8500000000
535 418.2400000000
550 420.7600000000
557 431.2400000000
562 451.2300000000
620 456.4400000000
621 457.3200000000
677 467.4000000000
701 473.7300000000
708 479.4900000000
736 480.5000000000
751 496.0200000000
765 509.2200000000
805 514.7000000000
856 519.2000000000
873 528.3300000000
957 545.1200000000
1027 554.1200000000
1333 558.9100000000
1546 566.3500000000
1626 566.7500000000
1809 587.2000000000
1825 588.4500000000
1830 590.2000000000
1841 608.3500000000
2066 615.1900000000
2094 631.1000000000
2123 636.3700000000
2259 636.6100000000
2261 652.9900000000
2280 657.1900000000
2318 667.1900000000
2319 668.7700000000
2347 678.2000000000
2354 682.2600000000
2398 687.4200000000
2669 691.8600000000
3137 700.3800000000
3426 701.9400000000
3552 704.9700000000
3598 706.4900000000
3606 724.1700000000
3630 725.7700000000
3742 741.6200000000
3752 748.5300000000
3836 752.7200000000
3840 754.9000000000
3886 761.8200000000
3917 769.0500000000
3955 770.2700000000
3976 775.7900000000
3987 779.9900000000
4015 784.0000000000
4039 789.8200000000
4067 795.5300000000
4081 808.2700000000
4167 817.1900000000
4213 820.4200000000
6251 835.4900000000
6280 866.5300000000
6899 867.2600000000
7445 883.5500000000
8130 890.4500000000
8135 892.9200000000
8137 900.1400000000
8143 902.4000000000
8192 916.2300000000
8198 917.0600000000
8310 927.3900000000
8552 942.6900000000
8589 942.7100000000
8591 946.4500000000
8609 955.0300000000
8661 956.7000000000
8684 957.2000000000
8705 957.6800000000
9305 970.5500000000
10000 765.6000000000
