evaluations raw_y
1 0.0000000000
2 28.6600000000
6 41.9700000000
21 45.2900000000
23 58.5700000000
28 67.2100000000
31 83.6500000000
35 89.7000000000
39 96.5600000000
46 102.4600000000
59 108.4700000000
62 110.4000000000
77 115.5600000000
91 125.7200000000
116 132.7700000000
128 143.3700000000
139 148.6300000000
155 153.5000000000
164 161.4500000000
166 161.5000000000
176 164.2300000000
183 167.7900000000
194 259.6300000000
298 265.8400000000
371 276.2300000000
410 289.7500000000
413 290.7300000000
417 290.9200000000
422 298.2900000000
424 299.1700000000
463 301.4600000000
473 319.9000000000
515 330.6300000000
516 338.9600000000
546 347.8800000000
570 350.3500000000
573 359.7200000000
592 366.4500000000
619 380.7200000000
997 383.3200000000
1025 388.7000000000
1026 397.4300000000
1090 398.0200000000
1099 407.0300000000
1100 425.6000000000
1216 426.2900000000
1264 434.7200000000
1334 442.8100000000
1387 447.5600000000
1425 452.2700000000
1428 454.9400000000
1430 477.2600000000
1484 477.4200000000
1533 492.7600000000
1536 501.8800000000
1703 502.1600000000
1761 523.3700000000
1796 528.6100000000
1815 534.6700000000
1862 584.7600000000
1912 605.4900000000
2028 609.6600000000
2141 621.5500000000
2186 625.5100000000
2207 626.9400000000
2431 638.7200000000
2466 653.5300000000
2582 654.9900000000
2583 671.4800000000
3043 673.7300000000
3247 750.6000000000
3356 758.8300000000
3443 762.7100000000
3474 775.1100000000
3515 778.4000000000
5204 783.9800000000
5216 784.6800000000
5530 787.4600000000
5789 793.2900000000
6019 793.4100000000
6215 794.6500000000
6311 796.4700000000
6375 796.7000000000
6841 801.4800000000
6914 805.1500000000
7354 819.3500000000
8714 864.6600000000
8767 883.1200000000
8852 897.0300000000
8857 899.6500000000
8977 905.1800000000
8983 909.2300000000
9005 913.2800000000
9417 920.7100000000
9609 921.6200000000
10301 923.3100000000
10380 926.2400000000
10745 931.2400000000
11056 935.1900000000
11962 939.3800000000
12207 941.8900000000
12300 944.4600000000
12303 951.3900000000
12364 952.3800000000
12615 960.5900000000
15062 967.4500000000
16026 978.0300000000
16469 981.6500000000
16517 991.1500000000
16551 997.9600000000
16632 1012.0200000000
16713 1015.2100000000
16836 1029.6600000000
25800 1029.7500000000
25829 1030.9300000000
27304 1031.3300000000
27647 1035.3400000000
27773 1039.7700000000
27824 1045.4100000000
27878 1049.7200000000
28227 1061.1100000000
28548 1064.8800000000
31857 1067.2000000000
42814 1068.9800000000
48746 1069.7600000000
58616 1076.7300000000
69799 1087.4100000000
94567 1088.6000000000
94933 1093.4400000000
95002 1094.5900000000
95168 1098.7300000000
97486 1099.2700000000
99425 1102.7200000000
99431 1111.5900000000
100000 1054.5700000000
