evaluations raw_y
1 0.0000000000
2 21.6000000000
6 51.4600000000
7 62.6400000000
8 65.1600000000
13 69.5000000000
25 76.8100000000
35 112.8000000000
44 120.9400000000
99 122.3800000000
106 133.6800000000
112 141.8200000000
125 144.2000000000
132 146.0300000000
169 148.9200000000
201 155.9400000000
202 163.6700000000
364 163.7300000000
395 167.0600000000
447 181.6600000000
691 216.4700000000
792 216.5800000000
803 230.6900000000
829 231.4400000000
886 253.1000000000
924 255.4600000000
934 267.8500000000
1049 353.9900000000
1051 364.9700000000
1081 371.0500000000
1084 379.3900000000
1105 379.5700000000
1141 382.0600000000
1192 389.0900000000
1228 396.1600000000
1247 400.3200000000
1435 402.6600000000
1503 407.6300000000
1664 411.6100000000
1772 539.0200000000
4517 543.0500000000
4704 551.1000000000
4734 558.4700000000
4994 615.8300000000
5562 641.6900000000
15410 644.0200000000
16377 649.0300000000
20831 659.4500000000
24522 665.7000000000
24578 667.6200000000
24656 670.0900000000
25416 672.0600000000
27411 677.2600000000
37659 679.7600000000
38128 702.7400000000
41750 703.2800000000
45873 707.6400000000
47228 708.9900000000
51531 736.5100000000
51581 752.2300000000
51582 766.0000000000
52111 769.0500000000
53401 772.6100000000
55548 776.3200000000
56114 777.9900000000
56324 785.2800000000
61312 787.4400000000
70156 792.3000000000
70274 794.7200000000
70589 796.3300000000
71293 799.2500000000
72082 802.4800000000
72087 805.1600000000
72210 807.7700000000
72407 809.8200000000
74727 819.2800000000
80070 822.7000000000
84276 832.9700000000
86558 836.6500000000
86565 844.6700000000
86696 857.2100000000
87182 858.8600000000
92254 860.7200000000
100000 343.1800000000
