evaluations raw_y
1 0.0000000000
2 18.5600000000
3 36.0300000000
5 47.4700000000
13 76.0500000000
15 82.9400000000
17 102.1600000000
21 116.9600000000
30 138.7700000000
55 145.1900000000
61 147.3900000000
80 176.4900000000
100 229.0500000000
176 233.0600000000
187 259.6800000000
194 271.5300000000
217 286.2100000000
218 296.7700000000
228 309.1200000000
229 313.2300000000
231 317.5800000000
240 322.3400000000
259 332.6200000000
286 337.1200000000
301 339.8400000000
317 349.7100000000
326 358.0700000000
328 375.2300000000
334 375.2800000000
353 376.9600000000
363 397.5400000000
438 403.6300000000
445 406.5300000000
446 420.0400000000
459 455.0800000000
517 472.6000000000
692 474.1600000000
786 479.0700000000
827 480.8500000000
870 494.2100000000
1132 500.2500000000
1148 512.2900000000
1247 515.6300000000
1268 531.7000000000
1292 541.5100000000
2116 552.5000000000
2122 554.5100000000
2147 561.0900000000
2226 561.2600000000
2229 583.5100000000
2357 593.6800000000
2373 609.6400000000
2410 610.2400000000
2631 612.5000000000
2634 615.8600000000
2662 639.2600000000
2698 642.8600000000
2929 656.6000000000
2937 658.7400000000
2973 659.1600000000
3622 660.4600000000
3639 662.9600000000
3691 692.5300000000
3711 694.0100000000
4019 694.3800000000
4046 709.6000000000
4487 714.8100000000
4559 729.5700000000
4663 740.7500000000
4794 747.7800000000
5384 811.8900000000
5514 825.4000000000
5559 829.9300000000
5851 832.3300000000
5858 846.6400000000
6242 848.8300000000
6248 862.4000000000
6520 869.7200000000
7970 878.8400000000
8076 885.2400000000
8207 885.7100000000
8325 885.7400000000
8356 889.2400000000
8369 906.8900000000
8677 907.9100000000
8683 908.8600000000
9342 918.7000000000
10000 617.7400000000
