evaluations raw_y
1 0.0000000000
2 26.4100000000
6 45.8800000000
7 63.3400000000
8 73.6200000000
28 85.9600000000
37 96.0000000000
40 103.3800000000
53 113.9800000000
56 131.9700000000
64 146.7700000000
85 149.3900000000
92 163.3200000000
102 174.6600000000
110 270.5500000000
118 280.3100000000
133 288.4100000000
138 315.6600000000
237 321.3800000000
369 331.5800000000
392 341.8100000000
404 348.6500000000
406 352.5700000000
408 376.5600000000
412 378.1000000000
413 379.5400000000
479 386.0100000000
481 388.3200000000
489 396.4100000000
494 403.1100000000
495 414.4800000000
515 419.9100000000
519 426.0000000000
595 430.1400000000
599 440.1600000000
729 444.0600000000
940 449.9400000000
1088 457.9100000000
1102 462.5200000000
1157 473.1200000000
1221 477.4800000000
2632 484.4000000000
3068 490.3200000000
3086 500.4500000000
3098 500.6400000000
3131 519.1000000000
3142 525.1200000000
3382 529.3300000000
3734 539.3600000000
3873 539.7500000000
4047 543.1000000000
4226 547.6700000000
5400 555.8900000000
5412 659.7100000000
5425 664.2400000000
5572 664.3400000000
5629 679.5300000000
5790 692.4000000000
5797 692.6200000000
5944 699.4000000000
6084 699.6200000000
6094 730.7500000000
6210 741.3900000000
6340 747.4300000000
6498 749.6000000000
6640 756.5900000000
6896 762.1700000000
8797 763.5900000000
9282 766.9400000000
16596 767.4900000000
17613 769.3500000000
20835 778.6600000000
22390 783.1500000000
24217 819.5200000000
24445 823.1100000000
24488 827.1000000000
24506 848.7300000000
24516 864.6300000000
30201 866.6300000000
30319 867.6900000000
30431 869.8000000000
30590 886.8200000000
32466 887.5600000000
33292 888.1000000000
39498 892.5400000000
42536 895.6800000000
43065 903.7300000000
46641 906.5200000000
53176 911.5100000000
53263 911.7300000000
53282 912.3000000000
53391 915.6000000000
53406 918.0300000000
53473 920.3600000000
55341 938.1200000000
73739 942.9300000000
88974 945.8300000000
100000 455.6000000000
