"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
450,2101,"GA",10000,30,422.4,422,5.29541115592971,412.16,414.35,416,418.25,422,427,429,429,430.26
450,2102,"GA",10000,30,422.166666666667,421.5,4.80002394630042,413.9,416.45,417,419,421.5,425,427.1,430.75,433
450,2101,"OnePlusOne_EA",10000,30,419.2,418.5,5.20212158311561,409.16,410.45,413.7,416,418.5,423.75,426,426.55,427.42
450,2102,"OnePlusOne_EA",10000,30,419.833333333333,420.5,4.69102836555448,409,411.7,415,416.5,420.5,423,426.1,427,427
450,2101,"RLS",10000,30,385,385.5,13.3416640641263,356.48,362.6,367,378,385.5,392.75,402.1,403.55,404.42
450,2102,"RLS",10000,30,385.633333333333,386,9.86279436284049,371,371.45,372,378.5,386,390,399.2,401,405.62
