evaluations raw_y
1 0.0000000000
2 85.0000000000
9 87.0000000000
22 141.0000000000
69 173.0000000000
173 231.0000000000
176 291.0000000000
235 312.0000000000
278 317.0000000000
285 322.0000000000
292 335.0000000000
320 337.0000000000
332 347.0000000000
356 369.0000000000
380 385.0000000000
400 387.0000000000
474 396.0000000000
615 401.0000000000
661 403.0000000000
762 405.0000000000
844 412.0000000000
1368 415.0000000000
1792 416.0000000000
2205 417.0000000000
2901 418.0000000000
3278 419.0000000000
3761 421.0000000000
4082 426.0000000000
5511 427.0000000000
8441 428.0000000000
18479 431.0000000000
19268 434.0000000000
67047 423.0000000000
