evaluations raw_y
1 0.0000000000
2 2.0300000000
3 16.9400000000
4 29.4300000000
7 29.6900000000
10 59.0600000000
27 59.1500000000
31 81.0700000000
35 84.4600000000
37 92.7300000000
38 101.5300000000
41 116.7200000000
47 119.8800000000
65 136.2800000000
67 140.0200000000
74 148.4100000000
90 177.4000000000
94 179.4900000000
95 219.9800000000
260 240.7700000000
283 248.8500000000
292 253.7000000000
300 262.7400000000
305 286.8500000000
321 288.0900000000
323 302.7200000000
360 304.2000000000
383 313.0900000000
488 320.8000000000
533 341.1000000000
546 345.9500000000
559 347.1900000000
575 348.3300000000
602 352.6700000000
804 354.4000000000
979 364.6400000000
1113 366.0800000000
1325 374.3200000000
1462 445.4000000000
1506 452.4600000000
1525 456.9200000000
1526 479.2400000000
1764 479.8800000000
1785 635.5300000000
3257 637.2700000000
3462 639.0900000000
3463 656.8100000000
3606 656.8200000000
3999 662.0200000000
10408 701.3400000000
10409 733.3700000000
10449 734.8800000000
10566 737.2900000000
10654 738.5600000000
10876 759.9300000000
14520 777.6800000000
14680 783.4900000000
16423 789.3100000000
16427 802.1800000000
16579 809.8900000000
17386 814.0000000000
17463 816.0100000000
17806 830.2200000000
17859 841.7600000000
18040 847.3300000000
19573 850.7800000000
23438 852.7100000000
23539 864.9100000000
26932 865.7600000000
27256 866.6300000000
27481 866.6700000000
27508 870.8000000000
28408 873.7300000000
28809 880.4400000000
28828 888.6400000000
29080 894.0100000000
29114 897.0500000000
29326 899.1200000000
29814 899.6700000000
30197 902.2300000000
32019 904.9500000000
32245 908.2700000000
35187 911.5600000000
43065 915.3600000000
43943 918.1700000000
44412 918.5700000000
45414 920.7700000000
45720 921.2200000000
46310 930.1400000000
58136 934.5700000000
59214 939.6600000000
100000 699.8900000000
