evaluations raw_y
1 0.0000000000
2 2.1100000000
3 18.1100000000
4 26.8600000000
8 35.7200000000
10 67.2400000000
24 69.0600000000
29 86.5400000000
45 88.7900000000
47 98.1900000000
48 100.7300000000
50 201.6700000000
59 208.2200000000
63 213.5700000000
68 224.7000000000
69 251.0700000000
72 260.9200000000
100 275.5700000000
118 277.6600000000
119 283.9500000000
142 302.8900000000
181 306.8300000000
183 306.8800000000
188 315.7200000000
205 326.3200000000
209 327.8300000000
222 330.8800000000
224 352.4800000000
226 365.9800000000
280 368.8700000000
281 378.2300000000
319 379.6500000000
372 382.6300000000
375 384.4300000000
399 395.6700000000
461 403.9900000000
464 417.3500000000
779 419.3100000000
784 422.0400000000
941 427.4700000000
1000 431.0900000000
1026 448.8300000000
1042 453.3400000000
1067 477.1000000000
1190 499.8700000000
1377 502.3700000000
1406 595.3100000000
1454 621.5600000000
1513 627.0400000000
1528 638.9300000000
1538 713.0200000000
1578 720.6700000000
1587 727.6700000000
1655 728.7100000000
1691 735.3100000000
1720 755.7600000000
2081 761.9700000000
2280 825.0800000000
2287 840.4500000000
2515 848.2200000000
2544 849.7600000000
2582 852.3800000000
2716 857.7600000000
3243 860.2200000000
3310 866.3200000000
3730 868.9400000000
4226 871.1200000000
4611 874.8200000000
5209 875.6900000000
5220 878.2700000000
5937 880.2600000000
6891 880.8800000000
6957 883.3000000000
7394 891.3700000000
7482 910.3500000000
7506 913.5300000000
7525 923.0600000000
7611 923.1100000000
7613 938.2300000000
7670 953.4900000000
7714 984.7200000000
8142 994.5100000000
8380 1004.6600000000
8577 1015.7900000000
8820 1023.1300000000
12657 1023.9500000000
14958 1034.4200000000
15145 1039.3000000000
15724 1041.0900000000
15847 1055.5300000000
20853 1057.9400000000
22222 1059.9400000000
22463 1060.7700000000
22677 1069.1800000000
22747 1073.1300000000
22801 1081.2100000000
23404 1083.5000000000
23461 1089.0600000000
23465 1116.4000000000
25188 1117.2200000000
25256 1117.3900000000
25524 1118.2900000000
25884 1120.8400000000
26080 1125.4600000000
26089 1130.0900000000
26254 1144.5400000000
26256 1150.5300000000
27136 1152.5800000000
27365 1155.7900000000
27871 1155.9900000000
28524 1167.1300000000
30004 1169.3600000000
31102 1169.7500000000
32315 1171.1900000000
33056 1176.5100000000
34459 1179.2900000000
34466 1179.3000000000
34524 1183.6800000000
34934 1185.7700000000
35093 1186.5100000000
35455 1187.0100000000
35628 1190.5900000000
35712 1195.5900000000
36001 1197.3300000000
36009 1199.9400000000
36519 1201.0400000000
36615 1210.7500000000
37852 1212.8900000000
37887 1215.1200000000
38260 1219.5900000000
38638 1220.8700000000
39300 1224.7900000000
40124 1225.2700000000
41330 1226.5200000000
45080 1227.1300000000
45559 1232.1400000000
48779 1233.5400000000
49092 1234.7000000000
54310 1235.7200000000
63369 1237.2200000000
70349 1239.5100000000
100000 803.3500000000
