evaluations raw_y
1 0.0000000000
2 4.3200000000
3 11.6400000000
4 26.5300000000
8 34.3800000000
10 56.8900000000
17 65.8000000000
20 95.9900000000
34 101.6800000000
54 106.7700000000
56 113.0800000000
64 130.2500000000
71 137.2200000000
72 138.6700000000
80 175.1900000000
86 177.0400000000
87 194.1400000000
89 194.3800000000
107 195.0300000000
150 200.0700000000
176 203.6800000000
193 206.8200000000
202 219.4600000000
211 224.8800000000
241 231.0100000000
281 237.1200000000
320 300.7400000000
351 308.6100000000
359 323.6300000000
381 326.6100000000
395 336.3700000000
459 360.1800000000
462 372.1600000000
505 374.8700000000
527 380.7300000000
726 383.7500000000
804 394.6000000000
851 395.5100000000
974 406.9500000000
998 415.9500000000
1119 422.4800000000
1165 432.5400000000
1198 432.8300000000
1211 440.0600000000
1216 469.8500000000
1260 472.7500000000
1820 486.7700000000
2027 517.5300000000
2266 530.0700000000
2479 530.1700000000
2636 531.4700000000
2805 537.6300000000
2980 538.0000000000
3109 540.6900000000
3125 545.2900000000
3155 548.3700000000
3168 561.5900000000
3215 566.4400000000
3592 577.5800000000
4663 625.0300000000
4815 638.9800000000
4948 644.4500000000
5328 649.6500000000
5621 654.2900000000
5817 663.0200000000
10000 474.5400000000
