evaluations raw_y
1 0.0000000000
2 2.9500000000
3 13.2400000000
4 26.4000000000
8 36.1900000000
10 53.3200000000
26 68.8400000000
27 79.9300000000
35 97.6300000000
39 101.1700000000
56 113.1300000000
73 116.2800000000
77 122.8900000000
81 149.7700000000
104 152.9100000000
112 165.9100000000
126 176.6300000000
135 177.0600000000
144 179.8100000000
162 184.6900000000
171 186.1100000000
177 194.0800000000
184 194.3200000000
206 196.8500000000
209 198.3600000000
283 205.2100000000
286 225.9300000000
298 228.0200000000
309 245.2300000000
314 254.8300000000
321 256.0200000000
352 274.5400000000
360 287.4700000000
402 288.6400000000
422 305.3600000000
463 313.1400000000
492 315.5000000000
502 323.7200000000
537 333.0300000000
679 336.4400000000
723 380.4700000000
725 384.0700000000
729 400.9200000000
746 415.6300000000
907 423.3000000000
1051 433.1400000000
1089 439.6900000000
1093 448.3600000000
1107 467.4600000000
1153 468.6100000000
1180 478.4200000000
1183 493.6000000000
1184 497.8200000000
1301 511.0100000000
1568 512.1400000000
1589 517.2200000000
1607 531.6700000000
1611 535.2700000000
1752 535.4300000000
1762 540.6700000000
1777 550.6200000000
1811 563.2100000000
1840 593.5500000000
1923 601.6800000000
1930 603.2300000000
1934 630.9900000000
1949 638.9500000000
1951 650.0900000000
1952 662.4600000000
2023 668.0200000000
2285 680.3100000000
2324 689.1500000000
2656 713.8000000000
2801 714.3100000000
2988 751.0000000000
2990 768.0000000000
3045 777.6800000000
3312 778.8400000000
3491 780.8800000000
3646 784.4700000000
3779 785.4600000000
3798 801.2900000000
4003 801.8800000000
4274 803.7900000000
4627 805.7700000000
4651 820.2000000000
4668 823.8400000000
4756 837.2500000000
4896 843.1800000000
4901 844.8300000000
4913 848.6400000000
5129 855.5200000000
5150 870.8500000000
5255 877.2500000000
5396 878.6500000000
5411 878.8000000000
5414 894.9100000000
5422 898.1900000000
5452 899.7000000000
5706 901.1900000000
5752 901.5000000000
5753 904.4000000000
5892 920.8600000000
6592 921.2700000000
6620 922.9400000000
6950 925.1900000000
7073 927.1300000000
7093 941.3800000000
7616 943.9000000000
7698 945.3700000000
8479 947.5400000000
8519 948.7100000000
8610 951.2100000000
8801 961.0600000000
8946 971.4100000000
9557 983.9700000000
10000 928.3000000000
