evaluations raw_y
1 0.0000000000
2 2.0500000000
3 11.0300000000
4 25.5900000000
8 40.0700000000
10 60.0300000000
26 72.7000000000
27 75.5200000000
31 85.2300000000
43 90.1300000000
54 99.9000000000
58 108.4400000000
62 110.1200000000
64 118.8600000000
66 120.9500000000
70 137.1100000000
74 148.2200000000
75 158.2800000000
80 177.2500000000
101 189.4200000000
102 209.7200000000
118 209.8000000000
156 217.5900000000
220 221.3400000000
224 229.5200000000
225 249.5500000000
253 260.7400000000
269 261.5400000000
345 261.7900000000
370 267.0900000000
387 274.4400000000
620 279.0500000000
621 301.7000000000
819 324.4200000000
850 338.3000000000
852 360.3200000000
878 366.1200000000
988 366.9600000000
1485 371.1100000000
1562 372.5500000000
1668 374.4200000000
1992 391.5400000000
2200 393.2000000000
2284 397.4100000000
2285 398.1800000000
2473 398.2800000000
2654 400.0800000000
2697 401.5400000000
2704 411.5100000000
2722 420.6500000000
2772 422.2200000000
2780 428.9900000000
2792 440.8900000000
3357 444.6900000000
3435 446.4500000000
3526 449.4300000000
4126 498.9400000000
4142 525.9500000000
4182 528.8900000000
4236 539.8200000000
4292 540.6700000000
4316 540.7900000000
4346 546.9100000000
4548 547.3700000000
4570 548.5500000000
4665 549.2300000000
4851 557.7800000000
4974 560.6500000000
4978 561.1700000000
5151 566.8500000000
5230 567.1600000000
5329 576.6400000000
5855 576.7600000000
6951 652.7800000000
7527 662.3800000000
7750 672.8200000000
15515 674.3600000000
17149 675.7700000000
19114 696.9200000000
19115 702.2400000000
19135 709.0200000000
19140 718.4300000000
19154 719.6200000000
19157 725.1200000000
19168 733.6500000000
19175 735.4100000000
19187 740.8000000000
19188 742.0700000000
19231 743.8100000000
19247 744.3100000000
19339 747.2800000000
19365 752.2600000000
19374 756.4500000000
19602 760.7000000000
19947 765.2200000000
19950 768.1000000000
20998 768.3300000000
22842 779.8000000000
23046 781.5600000000
23062 789.8600000000
23768 794.2000000000
24536 795.5900000000
26081 803.4900000000
26619 804.4900000000
33957 805.4900000000
37958 816.8600000000
62205 819.5700000000
63467 822.7200000000
63513 823.8500000000
63548 824.2000000000
63587 824.8500000000
63631 826.7500000000
65041 835.6100000000
73282 836.1800000000
73330 841.4900000000
79280 843.0200000000
89269 849.8600000000
100000 5.2800000000
