evaluations raw_y
1 0.0000000000
2 3.0500000000
3 20.1700000000
4 38.2100000000
13 44.6200000000
14 67.0600000000
27 67.9300000000
28 74.4700000000
40 78.2300000000
43 88.6300000000
46 91.9000000000
47 112.8400000000
60 123.1600000000
78 137.5900000000
87 142.4500000000
92 150.1400000000
100 162.1100000000
103 179.6300000000
146 201.0900000000
259 210.4200000000
266 210.6400000000
271 211.0200000000
287 214.3900000000
292 223.9200000000
313 226.6900000000
399 242.2100000000
410 266.2700000000
495 267.0800000000
675 272.8500000000
776 273.0400000000
790 280.7400000000
936 294.4400000000
1133 300.1500000000
1294 300.8000000000
1375 307.7500000000
1417 311.3100000000
2299 313.1600000000
2328 315.1200000000
2595 315.5900000000
2621 316.5900000000
2625 328.1600000000
2640 330.3400000000
2646 332.9600000000
2659 338.8000000000
2667 349.4400000000
2670 357.6400000000
2676 358.7500000000
2685 361.8300000000
2716 371.3000000000
2740 374.8400000000
2748 385.5400000000
2807 438.3500000000
2843 455.7800000000
2846 461.6500000000
2858 475.0800000000
2891 478.3800000000
2907 490.1600000000
2920 496.1300000000
2934 505.8300000000
3099 530.2900000000
3134 628.2300000000
3145 635.7800000000
3151 636.4500000000
3436 665.1800000000
9116 665.8500000000
9129 666.9300000000
9229 676.2500000000
9653 683.9800000000
9760 688.3400000000
9832 691.0200000000
10000 518.2600000000
