evaluations raw_y
1 0.0000000000
2 22.8200000000
6 36.2100000000
9 60.6000000000
20 113.7600000000
54 125.9000000000
69 128.8000000000
76 150.0400000000
93 168.4000000000
152 170.1400000000
168 171.2300000000
195 176.4400000000
212 181.7300000000
223 197.4800000000
232 210.0400000000
241 215.1400000000
243 236.6400000000
248 237.5900000000
251 261.8600000000
426 269.5600000000
430 283.2800000000
433 291.9600000000
467 297.6300000000
501 305.3700000000
529 324.5500000000
600 324.6400000000
673 325.7200000000
676 330.6200000000
721 347.3600000000
736 350.5700000000
741 367.9300000000
754 368.9800000000
755 395.8100000000
767 408.2200000000
833 417.4400000000
899 424.1400000000
1017 435.8200000000
1078 436.5500000000
1129 447.6200000000
1269 448.3100000000
1273 463.0500000000
1310 610.4900000000
1332 633.2100000000
1347 634.4500000000
1358 637.8200000000
1367 645.7900000000
1380 647.7300000000
1392 658.4600000000
1438 666.0000000000
1532 672.2600000000
1561 693.6200000000
1567 718.2900000000
1776 721.0400000000
1862 721.6800000000
1874 730.3100000000
1885 733.2100000000
1892 735.4000000000
1895 736.1200000000
2008 741.3700000000
2011 752.5300000000
2080 771.1500000000
2455 786.5700000000
2501 788.4700000000
2543 788.8600000000
2547 795.8700000000
2557 797.2500000000
3124 797.6400000000
3154 806.7300000000
3237 807.2100000000
3568 809.4800000000
3579 816.3600000000
4223 819.7300000000
5683 820.9800000000
5725 827.6700000000
5853 835.8800000000
5949 837.7700000000
5993 849.8600000000
6053 851.8400000000
6065 853.3600000000
6201 869.1000000000
6259 872.6800000000
6271 879.2400000000
6563 881.9000000000
8709 894.1200000000
9640 895.2600000000
13176 898.5200000000
16003 901.5100000000
19465 903.9200000000
19470 904.1700000000
19527 904.6700000000
19597 907.4100000000
19650 912.4700000000
19695 928.6900000000
20688 938.7200000000
22089 943.9700000000
22212 944.3000000000
22219 945.3400000000
22336 958.3900000000
22952 965.5600000000
23042 984.5700000000
23163 991.3600000000
23165 991.7900000000
23366 1003.2700000000
23437 1005.3800000000
23696 1014.1300000000
25769 1023.0100000000
27891 1023.5700000000
28722 1027.7700000000
29319 1032.9300000000
29951 1033.9600000000
30285 1041.1200000000
34621 1041.4900000000
36530 1041.8000000000
36944 1043.6500000000
37180 1044.3700000000
37331 1044.5500000000
37670 1047.8500000000
38409 1052.0400000000
39558 1063.4900000000
40846 1084.9600000000
42291 1085.2200000000
43186 1087.3200000000
43252 1091.0900000000
44599 1091.5200000000
45678 1096.4900000000
50313 1102.8900000000
74759 1104.9000000000
83601 1106.4700000000
89469 1107.5200000000
100000 884.3600000000
