evaluations raw_y
1 0.0000000000
2 24.2900000000
6 38.8400000000
9 54.8600000000
16 64.5100000000
23 83.8300000000
30 131.4700000000
34 137.6400000000
35 162.7000000000
38 178.0400000000
39 181.5000000000
41 184.4000000000
46 212.6300000000
61 215.5000000000
68 231.0100000000
110 234.8100000000
114 249.6000000000
127 264.0600000000
146 266.5900000000
149 273.0600000000
160 277.0000000000
168 281.1500000000
170 297.4200000000
173 318.5300000000
228 358.6900000000
232 371.1900000000
235 386.0500000000
248 388.2000000000
251 403.9800000000
252 413.7700000000
276 438.9300000000
317 458.7800000000
336 462.6100000000
407 462.6200000000
414 467.1100000000
416 471.6700000000
455 473.9800000000
466 481.5300000000
490 483.6700000000
651 494.1700000000
734 495.4600000000
777 498.8100000000
778 508.8900000000
822 531.9300000000
986 535.6000000000
1591 535.7200000000
1594 542.8200000000
1670 548.4500000000
1870 563.1600000000
1937 568.5100000000
2050 575.9500000000
2062 582.5900000000
2119 632.1100000000
2241 632.2900000000
2342 646.8100000000
2393 650.7000000000
2406 666.3600000000
2424 668.7800000000
2433 671.9500000000
2517 685.4000000000
2543 699.1300000000
2554 700.3200000000
2653 700.9700000000
2793 709.5200000000
2806 716.3300000000
2832 722.6400000000
3035 729.2000000000
3546 730.2000000000
3582 737.4000000000
3603 740.8600000000
3622 742.8400000000
3626 743.3800000000
3642 774.7300000000
3675 788.7000000000
3796 789.3100000000
3882 799.0800000000
3897 824.6700000000
4537 824.8500000000
4794 833.6500000000
4839 841.4100000000
5045 852.9400000000
5164 856.1800000000
5227 869.2600000000
6268 872.2800000000
6519 872.5500000000
6533 878.7900000000
6741 880.6300000000
6951 881.6800000000
7090 887.9400000000
7193 899.5200000000
7210 909.2000000000
7549 910.1200000000
7767 912.1400000000
7913 913.9200000000
7918 921.2500000000
8017 947.2100000000
8097 980.2500000000
9056 988.1100000000
9131 989.4400000000
9172 993.5100000000
9183 1004.8400000000
10054 1007.6200000000
10269 1021.4200000000
10578 1027.7100000000
10606 1056.3900000000
11181 1059.5600000000
11893 1060.8300000000
12184 1070.6200000000
12194 1081.8300000000
12251 1087.4400000000
12669 1090.5600000000
13546 1091.3400000000
13571 1091.8600000000
13617 1094.2300000000
13722 1100.4200000000
14263 1112.6800000000
20461 1115.2500000000
28889 1117.3800000000
37327 1120.1900000000
39033 1120.7200000000
39163 1124.5700000000
40582 1125.9700000000
43169 1132.9300000000
43891 1134.8900000000
44235 1138.1600000000
44341 1150.9000000000
44588 1152.4300000000
44599 1163.0500000000
44706 1167.0100000000
44928 1169.9900000000
46418 1174.5000000000
46737 1181.8800000000
56098 1183.4000000000
57233 1183.6200000000
59543 1187.5000000000
62272 1189.0900000000
62705 1191.4100000000
62713 1191.7500000000
62823 1192.2600000000
62919 1196.4800000000
62927 1199.2300000000
62948 1215.1900000000
63186 1216.1400000000
63300 1221.6700000000
63677 1222.1200000000
63949 1223.7800000000
64613 1225.9300000000
65634 1227.5700000000
67394 1238.3600000000
79384 1238.7100000000
79720 1246.1400000000
93277 1246.5900000000
94711 1246.8000000000
94914 1247.5800000000
95072 1248.7400000000
95662 1254.4800000000
100000 1107.3300000000
